token_id,text_id,text_name,column,sequence_id,position_in_column,segment_id,position_in_segment,sign_token,ms_number,is_boundary_MS20,is_eroded
1,CD,Chiapa de Corzo,BO,CD_BO,1,CD_BO_seg001,1,MS124,124.0,0,0
2,CD,Chiapa de Corzo,BO,CD_BO,2,CD_BO_seg001,2,MS20,20.0,1,0
3,CD,Chiapa de Corzo,BO,CD_BO,3,CD_BO_seg002,1,ERODED_0.01,,0,1
4,CD,Chiapa de Corzo,BO,CD_BO,4,CD_BO_seg002,2,ERODED_0.02,,0,1
5,CD,Chiapa de Corzo,CO,CD_CO,1,CD_CO_seg001,1,ERODED_0.04,,0,1
6,CM,Ceramic Mask,A,CM_A,1,CM_A_seg001,1,ERODED_0.05,,0,1
7,CM,Ceramic Mask,A,CM_A,2,CM_A_seg001,2,ERODED_0.06,,0,1
8,CM,Ceramic Mask,A,CM_A,3,CM_A_seg001,3,ERODED_0.07,,0,1
9,CM,Ceramic Mask,BO,CM_BO,1,CM_BO_seg001,1,ERODED_0.08,,0,1
10,CM,Ceramic Mask,BO,CM_BO,2,CM_BO_seg001,2,ERODED_0.09,,0,1
11,CM,Ceramic Mask,BO,CM_BO,3,CM_BO_seg001,3,MS1,1.0,0,0
12,CM,Ceramic Mask,BO,CM_BO,4,CM_BO_seg001,4,ERODED_0.11,,0,1
13,CM,Ceramic Mask,C,CM_C,1,CM_C_seg001,1,MS150,150.0,0,0
14,CM,Ceramic Mask,CO,CM_CO,1,CM_CO_seg001,1,MS164,164.0,0,0
15,CM,Ceramic Mask,CO,CM_CO,2,CM_CO_seg001,2,MS7,7.0,0,0
16,CM,Ceramic Mask,CO,CM_CO,3,CM_CO_seg001,3,MS44,44.0,0,0
17,CM,Ceramic Mask,DO,CM_DO,1,CM_DO_seg001,1,ERODED_0.12,,0,1
18,CM,Ceramic Mask,DO,CM_DO,2,CM_DO_seg001,2,ERODED_0.13,,0,1
19,CM,Ceramic Mask,DO,CM_DO,3,CM_DO_seg001,3,MS149,149.0,0,0
20,CM,Ceramic Mask,E,CM_E,1,CM_E_seg001,1,MS169,169.0,0,0
21,CM,Ceramic Mask,E,CM_E,2,CM_E_seg001,2,ERODED_0.16,,0,1
22,CM,Ceramic Mask,FO,CM_FO,1,CM_FO_seg001,1,MS169,169.0,0,0
23,CM,Ceramic Mask,FO,CM_FO,2,CM_FO_seg001,2,ERODED_0.17,,0,1
24,CM,Ceramic Mask,G,CM_G,1,CM_G_seg001,1,MS56,56.0,0,0
25,CM,Ceramic Mask,G,CM_G,2,CM_G_seg001,2,ERODED_0.19,,0,1
26,CM,Ceramic Mask,GO,CM_GO,1,CM_GO_seg001,1,ERODED_0.18,,0,1
27,CM,Ceramic Mask,MD,CM_MD,1,CM_MD_seg001,1,ERODED_0.14,,0,1
28,CM,Ceramic Mask,TO,CM_TO,1,CM_TO_seg001,1,ERODED_0.15,,0,1
29,FM,Feldspar Mask,,FM_misc,1,FM_misc_seg001,1,MS87,87.0,0,0
30,FM,Feldspar Mask,,FM_misc,2,FM_misc_seg001,2,MS219,219.0,0,0
31,FM,Feldspar Mask,,FM_misc,3,FM_misc_seg001,3,MS39,39.0,0,0
32,FM,Feldspar Mask,,FM_misc,4,FM_misc_seg001,4,MS79,79.0,0,0
33,FM,Feldspar Mask,A,FM_A,1,FM_A_seg001,1,MS208,208.0,0,0
34,FM,Feldspar Mask,A,FM_A,2,FM_A_seg001,2,MS13,13.0,0,0
35,FM,Feldspar Mask,A,FM_A,3,FM_A_seg001,3,MS210,210.0,0,0
36,FM,Feldspar Mask,AO,FM_AO,1,FM_AO_seg001,1,MS169,169.0,0,0
37,FM,Feldspar Mask,AO,FM_AO,2,FM_AO_seg001,2,MS201,201.0,0,0
38,FM,Feldspar Mask,AO,FM_AO,3,FM_AO_seg001,3,MS214,214.0,0,0
39,FM,Feldspar Mask,AO,FM_AO,4,FM_AO_seg001,4,MS2,2.0,0,0
40,FM,Feldspar Mask,AO,FM_AO,5,FM_AO_seg001,5,MS63,63.0,0,0
41,FM,Feldspar Mask,AO,FM_AO,6,FM_AO_seg001,6,MS88,88.0,0,0
42,FM,Feldspar Mask,B,FM_B,1,FM_B_seg001,1,MS28,28.0,0,0
43,FM,Feldspar Mask,B,FM_B,2,FM_B_seg001,2,MS93,93.0,0,0
44,FM,Feldspar Mask,B,FM_B,3,FM_B_seg001,3,MS100,100.0,0,0
45,FM,Feldspar Mask,B,FM_B,4,FM_B_seg001,4,MS5,5.0,0,0
46,FM,Feldspar Mask,B,FM_B,5,FM_B_seg001,5,MS125,125.0,0,0
47,FM,Feldspar Mask,B,FM_B,6,FM_B_seg001,6,MS205,205.0,0,0
48,FM,Feldspar Mask,B,FM_B,7,FM_B_seg001,7,MS63,63.0,0,0
49,FM,Feldspar Mask,B,FM_B,8,FM_B_seg001,8,ERODED_0.20,,0,1
50,FM,Feldspar Mask,BO,FM_BO,1,FM_BO_seg001,1,MS28,28.0,0,0
51,FM,Feldspar Mask,BO,FM_BO,2,FM_BO_seg001,2,MS124,124.0,0,0
52,FM,Feldspar Mask,BO,FM_BO,3,FM_BO_seg001,3,MS202,202.0,0,0
53,FM,Feldspar Mask,BO,FM_BO,4,FM_BO_seg001,4,MS203,203.0,0,0
54,FM,Feldspar Mask,BO,FM_BO,5,FM_BO_seg001,5,MS164,164.0,0,0
55,FM,Feldspar Mask,C,FM_C,1,FM_C_seg001,1,MS28,28.0,0,0
56,FM,Feldspar Mask,C,FM_C,2,FM_C_seg001,2,MS213,213.0,0,0
57,FM,Feldspar Mask,C,FM_C,3,FM_C_seg001,3,ERODED_0.21,,0,1
58,FM,Feldspar Mask,C,FM_C,4,FM_C_seg001,4,MS141,141.0,0,0
59,FM,Feldspar Mask,C,FM_C,5,FM_C_seg001,5,MS99,99.0,0,0
60,FM,Feldspar Mask,C,FM_C,6,FM_C_seg001,6,MS9,9.0,0,0
61,FM,Feldspar Mask,C,FM_C,7,FM_C_seg001,7,MS209,209.0,0,0
62,FM,Feldspar Mask,CO,FM_CO,1,FM_CO_seg001,1,MS162,162.0,0,0
63,FM,Feldspar Mask,CO,FM_CO,2,FM_CO_seg001,2,MS169,169.0,0,0
64,FM,Feldspar Mask,CO,FM_CO,3,FM_CO_seg001,3,MS39,39.0,0,0
65,FM,Feldspar Mask,CO,FM_CO,4,FM_CO_seg001,4,MS141,141.0,0,0
66,FM,Feldspar Mask,CO,FM_CO,5,FM_CO_seg001,5,MS149,149.0,0,0
67,FM,Feldspar Mask,CO,FM_CO,6,FM_CO_seg001,6,MS42,42.0,0,0
68,FM,Feldspar Mask,CO,FM_CO,7,FM_CO_seg001,7,MS93,93.0,0,0
69,FM,Feldspar Mask,CO,FM_CO,8,FM_CO_seg001,8,MS100,100.0,0,0
70,FM,Feldspar Mask,CO,FM_CO,9,FM_CO_seg001,9,MS7,7.0,0,0
71,FM,Feldspar Mask,CO,FM_CO,10,FM_CO_seg001,10,MS10,10.0,0,0
72,FM,Feldspar Mask,CO,FM_CO,11,FM_CO_seg001,11,MS39,39.0,0,0
73,FM,Feldspar Mask,CO,FM_CO,12,FM_CO_seg001,12,MS141,141.0,0,0
74,FM,Feldspar Mask,D,FM_D,1,FM_D_seg001,1,MS39,39.0,0,0
75,FM,Feldspar Mask,D,FM_D,2,FM_D_seg001,2,MS165,165.0,0,0
76,FM,Feldspar Mask,D,FM_D,3,FM_D_seg001,3,MS57,57.0,0,0
77,FM,Feldspar Mask,D,FM_D,4,FM_D_seg001,4,MS93,93.0,0,0
78,FM,Feldspar Mask,D,FM_D,5,FM_D_seg001,5,MS100,100.0,0,0
79,FM,Feldspar Mask,D,FM_D,6,FM_D_seg001,6,ERODED_0.22,,0,1
80,FM,Feldspar Mask,D,FM_D,7,FM_D_seg001,7,MS150,150.0,0,0
81,FM,Feldspar Mask,D,FM_D,8,FM_D_seg001,8,MS207,207.0,0,0
82,FM,Feldspar Mask,D,FM_D,9,FM_D_seg001,9,MS216,216.0,0,0
83,FM,Feldspar Mask,D,FM_D,10,FM_D_seg001,10,MS155,155.0,0,0
84,FM,Feldspar Mask,DO,FM_DO,1,FM_DO_seg001,1,MS169,169.0,0,0
85,FM,Feldspar Mask,DO,FM_DO,2,FM_DO_seg001,2,MS214,214.0,0,0
86,FM,Feldspar Mask,DO,FM_DO,3,FM_DO_seg001,3,MS141,141.0,0,0
87,FM,Feldspar Mask,DO,FM_DO,4,FM_DO_seg001,4,MS39,39.0,0,0
88,FM,Feldspar Mask,DO,FM_DO,5,FM_DO_seg001,5,MS149,149.0,0,0
89,FM,Feldspar Mask,DO,FM_DO,6,FM_DO_seg001,6,MS42,42.0,0,0
90,FM,Feldspar Mask,DO,FM_DO,7,FM_DO_seg001,7,MS141,141.0,0,0
91,FM,Feldspar Mask,DO,FM_DO,8,FM_DO_seg001,8,MS218,218.0,0,0
92,FM,Feldspar Mask,DO,FM_DO,9,FM_DO_seg001,9,MS138,138.0,0,0
93,FM,Feldspar Mask,E,FM_E,1,FM_E_seg001,1,MS139,139.0,0,0
94,FM,Feldspar Mask,E,FM_E,2,FM_E_seg001,2,MS169,169.0,0,0
95,FM,Feldspar Mask,E,FM_E,3,FM_E_seg001,3,MS39,39.0,0,0
96,FM,Feldspar Mask,E,FM_E,4,FM_E_seg001,4,MS141,141.0,0,0
97,FM,Feldspar Mask,E,FM_E,5,FM_E_seg001,5,MS63,63.0,0,0
98,FM,Feldspar Mask,E,FM_E,6,FM_E_seg001,6,MS202,202.0,0,0
99,FM,Feldspar Mask,E,FM_E,7,FM_E_seg001,7,MS57,57.0,0,0
100,FM,Feldspar Mask,E,FM_E,8,FM_E_seg001,8,MS214,214.0,0,0
101,FM,Feldspar Mask,EO,FM_EO,1,FM_EO_seg001,1,MS141,141.0,0,0
102,FM,Feldspar Mask,EO,FM_EO,2,FM_EO_seg001,2,MS63,63.0,0,0
103,FM,Feldspar Mask,EO,FM_EO,3,FM_EO_seg001,3,MS162,162.0,0,0
104,FM,Feldspar Mask,EO,FM_EO,4,FM_EO_seg001,4,MS217,217.0,0,0
105,FM,Feldspar Mask,F,FM_F,1,FM_F_seg001,1,MS39,39.0,0,0
106,FM,Feldspar Mask,F,FM_F,2,FM_F_seg001,2,MS141,141.0,0,0
107,FM,Feldspar Mask,F,FM_F,3,FM_F_seg001,3,MS99,99.0,0,0
108,FM,Feldspar Mask,F,FM_F,4,FM_F_seg001,4,MS204,204.0,0,0
109,FM,Feldspar Mask,FO,FM_FO,1,FM_FO_seg001,1,MS212,212.0,0,0
110,FM,Feldspar Mask,FO,FM_FO,2,FM_FO_seg001,2,MS154,154.0,0,0
111,FM,Feldspar Mask,FO,FM_FO,3,FM_FO_seg001,3,MS28,28.0,0,0
112,FM,Feldspar Mask,FO,FM_FO,4,FM_FO_seg001,4,MS54,54.0,0,0
113,FM,Feldspar Mask,LO,FM_LO,1,FM_LO_seg001,1,MS39,39.0,0,0
114,FM,Feldspar Mask,LO,FM_LO,2,FM_LO_seg001,2,MS207,207.0,0,0
115,LM,La Mojarra Stela 1,,LM_misc,1,LM_misc_seg001,1,MS166,166.0,0,0
116,LM,La Mojarra Stela 1,,LM_misc,2,LM_misc_seg001,2,MS72,72.0,0,0
117,LM,La Mojarra Stela 1,,LM_misc,3,LM_misc_seg001,3,MS45,45.0,0,0
118,LM,La Mojarra Stela 1,,LM_misc,4,LM_misc_seg001,4,MS45,45.0,0,0
119,LM,La Mojarra Stela 1,,LM_misc,5,LM_misc_seg001,5,MS63,63.0,0,0
120,LM,La Mojarra Stela 1,,LM_misc,6,LM_misc_seg001,6,MS83,83.0,0,0
121,LM,La Mojarra Stela 1,,LM_misc,7,LM_misc_seg001,7,MS65,65.0,0,0
122,LM,La Mojarra Stela 1,,LM_misc,8,LM_misc_seg001,8,MS144,144.0,0,0
123,LM,La Mojarra Stela 1,,LM_misc,9,LM_misc_seg001,9,MS38,38.0,0,0
124,LM,La Mojarra Stela 1,,LM_misc,10,LM_misc_seg001,10,MS66,66.0,0,0
125,LM,La Mojarra Stela 1,,LM_misc,11,LM_misc_seg001,11,MS80,80.0,0,0
126,LM,La Mojarra Stela 1,,LM_misc,12,LM_misc_seg001,12,MS38,38.0,0,0
127,LM,La Mojarra Stela 1,,LM_misc,13,LM_misc_seg001,13,MS20,20.0,1,0
128,LM,La Mojarra Stela 1,,LM_misc,14,LM_misc_seg002,1,MS171,171.0,0,0
129,LM,La Mojarra Stela 1,,LM_misc,15,LM_misc_seg002,2,MS172,172.0,0,0
130,LM,La Mojarra Stela 1,,LM_misc,16,LM_misc_seg002,3,MS88,88.0,0,0
131,LM,La Mojarra Stela 1,,LM_misc,17,LM_misc_seg002,4,MS20,20.0,1,0
132,LM,La Mojarra Stela 1,A,LM_A,1,LM_A_seg001,1,MS100,100.0,0,0
133,LM,La Mojarra Stela 1,A,LM_A,2,LM_A_seg001,2,MS5,5.0,0,0
134,LM,La Mojarra Stela 1,A,LM_A,3,LM_A_seg001,3,MS42,42.0,0,0
135,LM,La Mojarra Stela 1,A,LM_A,4,LM_A_seg001,4,MS95,95.0,0,0
136,LM,La Mojarra Stela 1,A,LM_A,5,LM_A_seg001,5,MS72,72.0,0,0
137,LM,La Mojarra Stela 1,A,LM_A,6,LM_A_seg001,6,MS52,52.0,0,0
138,LM,La Mojarra Stela 1,A,LM_A,7,LM_A_seg001,7,MS105,105.0,0,0
139,LM,La Mojarra Stela 1,A,LM_A,8,LM_A_seg001,8,MS79,79.0,0,0
140,LM,La Mojarra Stela 1,A,LM_A,9,LM_A_seg001,9,MS124,124.0,0,0
141,LM,La Mojarra Stela 1,A,LM_A,10,LM_A_seg001,10,MS24,24.0,0,0
142,LM,La Mojarra Stela 1,A,LM_A,11,LM_A_seg001,11,MS75,75.0,0,0
143,LM,La Mojarra Stela 1,A,LM_A,12,LM_A_seg001,12,MS24,24.0,0,0
144,LM,La Mojarra Stela 1,A,LM_A,13,LM_A_seg001,13,MS44,44.0,0,0
145,LM,La Mojarra Stela 1,A,LM_A,14,LM_A_seg001,14,MS28,28.0,0,0
146,LM,La Mojarra Stela 1,A,LM_A,15,LM_A_seg001,15,MS117,117.0,0,0
147,LM,La Mojarra Stela 1,A,LM_A,16,LM_A_seg001,16,MS147,147.0,0,0
148,LM,La Mojarra Stela 1,A,LM_A,17,LM_A_seg001,17,MS170,170.0,0,0
149,LM,La Mojarra Stela 1,A,LM_A,18,LM_A_seg001,18,MS24,24.0,0,0
150,LM,La Mojarra Stela 1,A,LM_A,19,LM_A_seg001,19,MS173,173.0,0,0
151,LM,La Mojarra Stela 1,AI,LM_AI,1,LM_AI_seg001,1,MS20,20.0,1,0
152,LM,La Mojarra Stela 1,AI,LM_AI,2,LM_AI_seg002,1,MS121,121.0,0,0
153,LM,La Mojarra Stela 1,AI,LM_AI,3,LM_AI_seg002,2,MS145,145.0,0,0
154,LM,La Mojarra Stela 1,AI,LM_AI,4,LM_AI_seg002,3,MS119,119.0,0,0
155,LM,La Mojarra Stela 1,AI,LM_AI,5,LM_AI_seg002,4,MS45,45.0,0,0
156,LM,La Mojarra Stela 1,AO,LM_AO,1,LM_AO_seg001,1,MS110,110.0,0,0
157,LM,La Mojarra Stela 1,AO,LM_AO,2,LM_AO_seg001,2,MS3,3.0,0,0
158,LM,La Mojarra Stela 1,AO,LM_AO,3,LM_AO_seg001,3,MS3,3.0,0,0
159,LM,La Mojarra Stela 1,AO,LM_AO,4,LM_AO_seg001,4,MS3,3.0,0,0
160,LM,La Mojarra Stela 1,AO,LM_AO,5,LM_AO_seg001,5,MS5,5.0,0,0
161,LM,La Mojarra Stela 1,AQ,LM_AQ,1,LM_AQ_seg001,1,MS26,26.0,0,0
162,LM,La Mojarra Stela 1,AQ,LM_AQ,2,LM_AQ_seg001,2,MS56,56.0,0,0
163,LM,La Mojarra Stela 1,B,LM_B,1,LM_B_seg001,1,MS20,20.0,1,0
164,LM,La Mojarra Stela 1,BO,LM_BO,1,LM_BO_seg001,1,MS114,114.0,0,0
165,LM,La Mojarra Stela 1,BO,LM_BO,2,LM_BO_seg001,2,MS143,143.0,0,0
166,LM,La Mojarra Stela 1,BO,LM_BO,3,LM_BO_seg001,3,MS125,125.0,0,0
167,LM,La Mojarra Stela 1,BO,LM_BO,4,LM_BO_seg001,4,MS152,152.0,0,0
168,LM,La Mojarra Stela 1,BO,LM_BO,5,LM_BO_seg001,5,MS104,104.0,0,0
169,LM,La Mojarra Stela 1,BO,LM_BO,6,LM_BO_seg001,6,MS109,109.0,0,0
170,LM,La Mojarra Stela 1,CO,LM_CO,1,LM_CO_seg001,1,MS63,63.0,0,0
171,LM,La Mojarra Stela 1,CO,LM_CO,2,LM_CO_seg001,2,MS30,30.0,0,0
172,LM,La Mojarra Stela 1,CO,LM_CO,3,LM_CO_seg001,3,MS31,31.0,0,0
173,LM,La Mojarra Stela 1,CO,LM_CO,4,LM_CO_seg001,4,MS20,20.0,1,0
174,LM,La Mojarra Stela 1,CO,LM_CO,5,LM_CO_seg002,1,MS97,97.0,0,0
175,LM,La Mojarra Stela 1,DO,LM_DO,1,LM_DO_seg001,1,MS63,63.0,0,0
176,LM,La Mojarra Stela 1,DO,LM_DO,2,LM_DO_seg001,2,MS176,176.0,0,0
177,LM,La Mojarra Stela 1,DO,LM_DO,3,LM_DO_seg001,3,MS150,150.0,0,0
178,LM,La Mojarra Stela 1,DO,LM_DO,4,LM_DO_seg001,4,MS63,63.0,0,0
179,LM,La Mojarra Stela 1,EO,LM_EO,1,LM_EO_seg001,1,MS184,184.0,0,0
180,LM,La Mojarra Stela 1,EO,LM_EO,2,LM_EO_seg001,2,MS181,181.0,0,0
181,LM,La Mojarra Stela 1,EO,LM_EO,3,LM_EO_seg001,3,MS20,20.0,1,0
182,LM,La Mojarra Stela 1,EO,LM_EO,4,LM_EO_seg002,1,MS54,54.0,0,0
183,LM,La Mojarra Stela 1,EO,LM_EO,5,LM_EO_seg002,2,MS59,59.0,0,0
184,LM,La Mojarra Stela 1,FO,LM_FO,1,LM_FO_seg001,1,MS128,128.0,0,0
185,LM,La Mojarra Stela 1,FO,LM_FO,2,LM_FO_seg001,2,MS63,63.0,0,0
186,LM,La Mojarra Stela 1,FO,LM_FO,3,LM_FO_seg001,3,MS38,38.0,0,0
187,LM,La Mojarra Stela 1,FO,LM_FO,4,LM_FO_seg001,4,MS170,170.0,0,0
188,LM,La Mojarra Stela 1,FO,LM_FO,5,LM_FO_seg001,5,MS20,20.0,1,0
189,LM,La Mojarra Stela 1,G,LM_G,1,LM_G_seg001,1,MS63,63.0,0,0
190,LM,La Mojarra Stela 1,GO,LM_GO,1,LM_GO_seg001,1,MS163,163.0,0,0
191,LM,La Mojarra Stela 1,GO,LM_GO,2,LM_GO_seg001,2,MS96,96.0,0,0
192,LM,La Mojarra Stela 1,GO,LM_GO,3,LM_GO_seg001,3,MS136,136.0,0,0
193,LM,La Mojarra Stela 1,GO,LM_GO,4,LM_GO_seg001,4,MS63,63.0,0,0
194,LM,La Mojarra Stela 1,GO,LM_GO,5,LM_GO_seg001,5,MS44,44.0,0,0
